id,emoji,MaxSpeed,hp,mp,mpregene,deffence,attackMagic,attack,attackPierceCount,HomingRadius,HomingPower,AddLifeTime,FireCnt1,FireCnt2,UseMP,AddMaxSpeed,coinDropCount,RegistFIREBALL,RegistICE,RegistLIGHTNING,RegistLIGHTNING.1,RegistMETEOR,RegistEXPLOSION,RegistGUST,RegistBUBBLE,RegistRAINBOW,RegistWEB,RegistPOISONSTING,RegistSWORDSLASH,RegistGREATAxe,RegistHAMMERCRUSH,RegistTRIDENTTHRUST,RegistSHIELDBASH
Tiger,🐅,1.5,125.0,30.0,0.05,0.0,DEFAULTENEMYATTACK,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.15,1.05,1.25,1.2,1.0,1.0,1.2,1.0,0.8500000000000001,1.0,1.2,1.25,0.9,0.8
Moose,🫎,1.5,125.0,30.0,0.05,0.0,DEFAULTENEMYATTACK,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.15,1.05,1.25,1.2,1.0,1.0,1.2,1.0,0.8500000000000001,1.0,1.2,1.25,0.9,0.8
Buffalo,🐃,1.5,125.0,30.0,0.05,0.0,DEFAULTENEMYATTACK,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.15,1.05,1.25,1.2,1.0,1.0,1.2,1.0,0.8500000000000001,1.0,1.2,1.25,0.9,0.8
Otter,🦦,1.5,125.0,30.0,0.05,0.0,DEFAULTENEMYATTACK,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.15,1.05,1.25,1.2,1.0,1.0,1.2,1.0,0.8500000000000001,1.0,1.2,1.25,0.9,0.8
BlackBird,🐦‍⬛,1.5,125.0,30.0,0.05,0.0,DEFAULTENEMYATTACK,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.15,1.05,1.25,1.2,1.0,1.0,1.2,1.0,0.8500000000000001,1.0,1.2,1.25,0.9,0.8
Turtle,🐢,1.5,125.0,30.0,0.05,0.0,DEFAULTENEMYATTACK,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.15,1.05,1.25,1.2,1.0,1.0,1.2,1.0,0.8500000000000001,1.0,1.2,1.25,0.9,0.8
Snake,🐍,1.5,125.0,30.0,0.05,0.0,DEFAULTENEMYATTACK,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.15,1.05,1.25,1.2,1.0,1.0,1.2,1.0,0.8500000000000001,1.0,1.2,1.25,0.9,0.8
Sauropod,🦕,1.5,125.0,30.0,0.05,0.0,DEFAULTENEMYATTACK,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.15,1.05,1.25,1.2,1.0,1.0,1.2,1.0,0.8500000000000001,1.0,1.2,1.25,0.9,0.8
T-Rex,🦖,1.5,125.0,30.0,0.05,0.0,DEFAULTENEMYATTACK,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.15,1.05,1.25,1.2,1.0,1.0,1.2,1.0,0.8500000000000001,1.0,1.2,1.25,0.9,0.8
Rat,🐀,1.5,125.0,30.0,0.05,0.0,DEFAULTENEMYATTACK,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.15,1.05,1.25,1.2,1.0,1.0,1.2,1.0,0.8500000000000001,1.0,1.2,1.25,0.9,0.8
Boar,🐗,1.5,125.0,30.0,0.05,0.0,DEFAULTENEMYATTACK,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.15,1.05,1.25,1.2,1.0,1.0,1.2,1.0,0.8500000000000001,1.0,1.2,1.25,0.9,0.8
SLIME,🟢,1.5,125.0,30.0,0.05,0.0,BUBBLE,5.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.15,1.05,1.25,1.2,1.0,1.0,1.2,1.0,0.8500000000000001,1.0,1.2,1.25,0.9,0.8
