id,emoji,MaxSpeed,hp,mp,mpregene,deffence,attackMagic,attack,attackPierceCount,HomingRadius,HomingPower,AddLifeTime,FireCnt1,UseMP,AddMaxSpeed,coinDropCount,RegistFIREBALL,RegistICE,RegistLIGHTNING,RegistLIGHTNING,RegistMETEOR,RegistEXPLOSION,RegistGUST,RegistBUBBLE,RegistRAINBOW,RegistWEB,RegistPOISONSTING,RegistSWORDSLASH,RegistGREATAxe,RegistHAMMERCRUSH,RegistTRIDENTTHRUST,RegistSHIELDBASH
JACK,🎃,0.09,90,30,0.05,0,FIREBALL,5,1,0,0,0,1,0,0,2,1.8,0.9,1.1,1.2,1.3,1.4,1,1,1.2,1,0.8,1.5,1.6,1.2,1.2,0.8
phoenix,🐦‍🔥,0.45,200,30,0.05,0,FIREBALL,3,1,0,0,0,1,0,0,3,1,1,0.8,1,1.1,1.1,1,1.5,1.2,1,1,1,1.2,1.2,0.9,1
Crocodile,🐊,0.09,130,30,0.05,0,EXPLOSION,9,1,0,0,0,1,0,0,4,1.1,1.3,2,1,1.8,2,0.9,1.4,1,0.9,0.1,0.7,1.4,1.6,0.6,0.5
Mammoth,🦣,0.07,125,30,0.05,0,DEFAULTENEMYATTACK,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
Bear,🐻,0.09,125,30,0.05,0,DEFAULTENEMYATTACK,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
PolarBear,🐻‍❄️,0.35,125,30,0.05,0,DEFAULTENEMYATTACK,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
Tiger,🐅,0.17,125,30,0.05,0,DEFAULTENEMYATTACK,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
Moose,🫎,0.14,125,30,0.05,0,DEFAULTENEMYATTACK,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
Buffalo,🐃,0.08,125,30,0.05,0,DEFAULTENEMYATTACK,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
Cow,🐄,0.08,125,30,0.05,0,DEFAULTENEMYATTACK,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
Otter,🦦,0.26,125,30,0.05,0,DEFAULTENEMYATTACK,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
BlackBird,🐦‍⬛,0.34,125,30,0.05,0,DEFAULTENEMYATTACK,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
Turtle,🐢,0.05,125,30,0.05,0,DEFAULTENEMYATTACK,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
Snake,🐍,0.15,125,30,0.05,0,DEFAULTENEMYATTACK,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
Sauropod,🦕,0.06,125,30,0.05,0,DEFAULTENEMYATTACK,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
T-Rex,🦖,0.2,125,30,0.05,0,DEFAULTENEMYATTACK,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
Rat,🐀,0.24,125,30,0.05,0,DEFAULTENEMYATTACK,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
Boar,🐗,0.27,125,30,0.05,0,DEFAULTENEMYATTACK,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
SLIME,🟢,0.07,125,30,0.05,0,BUBBLE,5.5,1,0,0,0,1,0,0,3,1,1,1.15,1.05,1.25,1.2,1,1,1.2,1,0.85,1,1.2,1.25,0.9,0.8
